"value","variable","issue_type","uuid"
"60000000","medicine_health_products","normal distribution outlier","8ceb6543-1075-46f2-a410-97f6553d93b5"
"37000000","medicine_health_products","normal distribution outlier","5ef2fc40-79fc-4cd2-932f-91010121163d"
"30000000","medicine_health_products","normal distribution outlier","2da13df0-2070-4cb2-bbf5-47cce66625ef"
"30000000","medicine_health_products","normal distribution outlier","9522644d-1421-4ef6-8e44-a7a9daf417ff"
"35000000","medicine_health_products","normal distribution outlier","a8855c82-1171-4dbe-804e-ddf3f4ec238b"
"500000000","medicine_health_products","normal distribution outlier","9f24fc88-7810-47a8-b86d-fcb89e8cb787"
"8000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","a631a670-1bcd-4504-96e4-89503bef6582"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","d410da87-5e5a-49cc-abf0-80bbed25fde2"
"8000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","69fa62bf-dcc9-4276-b952-14c1a46e7aa5"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","d57bcba3-1496-437d-8990-21bb9b85e9b9"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","bb6e0615-cacd-40a7-b8d0-2f4ec1638665"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","a8f7d4bd-d183-4e12-9775-89f0d86265b6"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","30083903-a367-4b80-ac0d-79c2e3a199bd"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","5e896d86-6d5b-4245-ba20-b162d4785b77"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","025484e5-0471-4a89-8361-dc2c5fbabfa0"
"12000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","0d3de452-21df-463c-825d-cccfe8bc5b3a"
"12000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","453b4f9c-e5e0-4422-91a7-1359d57867a9"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","a9cc77ea-e8ff-4514-9003-22a733510557"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","058df8e2-228d-44da-a58e-a0cfcea96a4e"
"4500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","4c094051-985d-4dbc-921f-418bbd4c89d9"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","cd527a3b-1c63-4932-9aff-7200bb5420d8"
"4800000","water_from_all_sources_combined_including_utilities","normal distribution outlier","c216a6e5-d205-4ae8-8cc5-4a7f746ad1f0"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","77501c16-d767-4562-beb9-9e83de3f7d4f"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","5ee14166-4e90-45c4-af97-5f913ef14172"
"4500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","d31ad986-8f4a-4a86-9bc1-6e569ad35167"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","6aebdf93-9b6a-460e-bd8e-2b717b2cf684"
"4500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","8dbf7f73-1cac-4d14-8d50-723031fb872a"
"8000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","20d00a14-c66e-4783-92e2-26e5741b2fbb"
"3500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","46111832-5aef-4e05-b66c-f8f9605319a9"
"6000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","8ceb6543-1075-46f2-a410-97f6553d93b5"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","505a5d79-b3f4-4f62-957e-9aa619f99b66"
"4500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","e6ed1bed-41c8-439a-b4c8-67c1c2f37bbb"
"3800000","water_from_all_sources_combined_including_utilities","normal distribution outlier","fda5fb3c-6e7d-4c76-ad5a-7bbfa0ef7479"
"10000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","841384eb-fbc4-45bf-a14f-83357d743b15"
"3600000","water_from_all_sources_combined_including_utilities","normal distribution outlier","6ccb83c7-0a01-4c60-adff-01ef8db3897d"
"3750000","water_from_all_sources_combined_including_utilities","normal distribution outlier","d9f09177-4889-48da-bb1a-a2f472710a9c"
"3500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","5f0e0f0f-416c-4dbc-b2ae-3f9d1ca77ce1"
"5600000","water_from_all_sources_combined_including_utilities","normal distribution outlier","0887df05-7696-4e0c-a78d-0cc0922bdcd0"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","55b6f89b-8f26-4453-9e19-13f3bd6b714e"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","4947962c-38ae-45e0-982b-391f60ae60d0"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","de622158-b0f9-4b5d-805f-a559cd720222"
"4300000","water_from_all_sources_combined_including_utilities","normal distribution outlier","5297c664-8c93-4496-8dfc-a1640a391d33"
"23000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","5b311cc8-aec1-447b-80d8-a160fb861c3c"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","96514c86-c7a9-422d-be7b-1b124a9cf38b"
"4500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","72fcc8df-638c-489f-8744-247f3a7553d6"
"4500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","bfa77a86-009e-41f5-9f62-1cbbb99a1a68"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","01abb5ab-4da1-4616-858e-a4ff11d44947"
"7000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","52824fe7-4672-4024-8b94-69916f6bf9fe"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","83ae16c2-f361-4a44-b5f7-f494262a5be2"
"6000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","713cae38-a72e-4132-807c-a30d3a76b44e"
"3500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","78e86992-8935-47e8-9134-4d44c508bfc0"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","3f4517dd-b9e6-40d0-ad6a-63839c6bd184"
"9000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","56e26fb8-afa3-4218-a05c-e57c6dbb575c"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","0743cdc3-4907-40b0-820a-2c2964ba9b0e"
"7200000","water_from_all_sources_combined_including_utilities","normal distribution outlier","12676079-ca59-4e2a-8b6c-9a62fd9afb76"
"6000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","03da9ac0-c942-4408-a443-3173d894bda7"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","6b5c6536-3fe4-4b2b-a7a4-b772b8b9bfe5"
"3600000","water_from_all_sources_combined_including_utilities","normal distribution outlier","e7bd78c2-57ea-4744-906d-d5d0399bc050"
"3500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","00f01e9c-5ce3-43e3-87df-81bed63cad38"
"3800000","water_from_all_sources_combined_including_utilities","normal distribution outlier","55fd7dd1-7aa9-47b0-9ea6-4c0d6a7372dc"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","b360f3d5-5c5d-4f8c-a279-1295a81969a8"
"6000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","ffe8d406-6ad1-40dd-8a12-463b83067989"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","f5c23c66-6657-44ca-98b8-c87dbe432418"
"4120000","water_from_all_sources_combined_including_utilities","normal distribution outlier","f890ded5-7464-473a-9395-e10beb75d503"
"3360000","water_from_all_sources_combined_including_utilities","normal distribution outlier","ba9cd051-1f39-4270-b483-a03bf76d9b8d"
"6000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","190d62d3-077f-4ceb-8a4e-a60f71038311"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","7c3cfbc9-2e15-4ddb-b016-290e86d63744"
"4500000","water_from_all_sources_combined_including_utilities","normal distribution outlier","6c15b61c-46d5-4007-8928-d1a86e21f2c5"
"3300000","water_from_all_sources_combined_including_utilities","normal distribution outlier","c4d352d5-0654-468e-8481-6300e1a2069f"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","d69e630e-2dfd-4380-ae6e-4a7476896a2c"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","14f30922-126e-481b-a15d-3d88ad53fe5b"
"4000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","62a55122-15c9-48ca-97dc-e1afbd1f7a56"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","7416b111-33bd-4c0f-86ae-4bf1cf0c9dbb"
"5000000","water_from_all_sources_combined_including_utilities","normal distribution outlier","d014cc1d-7dac-4c9d-8527-1a1b11559e3b"
"3000000","hygiene_items","normal distribution outlier","3cb12077-0a50-47f8-830e-c34e9f69c8c3"
"2500000","hygiene_items","normal distribution outlier","d410da87-5e5a-49cc-abf0-80bbed25fde2"
"5000000","hygiene_items","normal distribution outlier","99615d77-9975-4292-88d3-0017a692d296"
"3000000","hygiene_items","normal distribution outlier","3ac3aba1-2895-4359-81b7-4adee0339015"
"3000000","hygiene_items","normal distribution outlier","250b61dd-8b30-404c-897d-1225b8acc984"
"3000000","hygiene_items","normal distribution outlier","d57bcba3-1496-437d-8990-21bb9b85e9b9"
"6000000","hygiene_items","normal distribution outlier","49addd54-9ba2-4cef-8c94-344f01598c74"
"4000000","hygiene_items","normal distribution outlier","25565b37-b611-4cdb-9fa9-348a02b2c204"
"4000000","hygiene_items","normal distribution outlier","f6d5e64e-8e38-4919-9810-5162b4661965"
"3000000","hygiene_items","normal distribution outlier","a8f7d4bd-d183-4e12-9775-89f0d86265b6"
"6000000","hygiene_items","normal distribution outlier","11d7c66b-4224-4417-8ed4-2b438460a06d"
"3000000","hygiene_items","normal distribution outlier","ee77716f-e83b-4d2c-b30f-278b39b92942"
"2500000","hygiene_items","normal distribution outlier","472a3092-f53b-4c30-8c66-f1aaaa0ca9b1"
"3000000","hygiene_items","normal distribution outlier","d35c3d3a-a8ce-4926-8e51-8789eee27b64"
"3000000","hygiene_items","normal distribution outlier","cc99de74-f34e-426b-927d-c6e34bc3038a"
"3000000","hygiene_items","normal distribution outlier","00e423a1-6881-4410-a44e-c08f5fe84d2b"
"9000000","hygiene_items","normal distribution outlier","eaa45a85-2ff7-49ca-93db-440f711a38d6"
"3000000","hygiene_items","normal distribution outlier","b54aef31-3eb8-427d-b7bc-d69319254384"
"3000000","hygiene_items","normal distribution outlier","eea70a33-b1bf-492b-b55f-7a65c3caf530"
"3000000","hygiene_items","normal distribution outlier","2abcc30c-94b4-491f-b77e-f1f0ee65a067"
"2500000","hygiene_items","normal distribution outlier","2a6364e0-fc97-48e2-9c43-89b5555fecb6"
"2500000","hygiene_items","normal distribution outlier","b82d8a98-a6a7-476e-9319-72b1cd91e990"
"3000000","hygiene_items","normal distribution outlier","577d718b-ac56-4324-a8e9-e425ccb79fef"
"2500000","hygiene_items","normal distribution outlier","be2aed62-c8a7-45e1-84dd-922bc4c4d04a"
"5000000","hygiene_items","normal distribution outlier","7f006cab-ac18-404f-9283-a0ca169a97ba"
"2500000","hygiene_items","normal distribution outlier","0578a18f-28d6-49b2-b4d0-0f07a836081f"
"4000000","hygiene_items","normal distribution outlier","637fad16-c528-49b0-8f95-69453e47e1a4"
"3000000","hygiene_items","normal distribution outlier","45185ec0-b5a9-4a99-8851-0c5eda51929f"
"3000000","hygiene_items","normal distribution outlier","4155fbb6-8d12-4289-8459-a4ffadd83807"
"3000000","hygiene_items","normal distribution outlier","cd527a3b-1c63-4932-9aff-7200bb5420d8"
"4000000","hygiene_items","normal distribution outlier","9ae1b82e-7ec7-496e-b6cb-195ccd09136c"
"2500000","hygiene_items","normal distribution outlier","6afb5d7e-2a33-410a-9b8a-ddd24fe97345"
"3000000","hygiene_items","normal distribution outlier","cbe97afe-1f55-4bc2-b5d1-321e38e06547"
"3000000","hygiene_items","normal distribution outlier","8a17930d-f786-4418-a1e0-d88b24737b8a"
"3000000","hygiene_items","normal distribution outlier","69455f59-0759-45d0-8fbc-582274848728"
"8000000","hygiene_items","normal distribution outlier","31268f4d-de0c-4f23-8bae-5d245d45d68c"
"12000000","hygiene_items","normal distribution outlier","7455b931-1695-4245-8a93-8a73fc948907"
"5000000","hygiene_items","normal distribution outlier","f77ecbfb-96c1-4de7-8a8f-31aa7e164eab"
"9000000","hygiene_items","normal distribution outlier","8ceb6543-1075-46f2-a410-97f6553d93b5"
"3000000","hygiene_items","normal distribution outlier","19304db9-9b55-42a9-b005-44ab8c3489f2"
"6000000","hygiene_items","normal distribution outlier","e6ed1bed-41c8-439a-b4c8-67c1c2f37bbb"
"3000000","hygiene_items","normal distribution outlier","90435fc9-6752-41a9-bda5-9e2d83f30839"
"3000000","hygiene_items","normal distribution outlier","de622158-b0f9-4b5d-805f-a559cd720222"
"5000000","hygiene_items","normal distribution outlier","513acd98-1e8b-4822-b1ae-1d33d510c4b4"
"2300000","hygiene_items","normal distribution outlier","5297c664-8c93-4496-8dfc-a1640a391d33"
"2200000","hygiene_items","normal distribution outlier","5b311cc8-aec1-447b-80d8-a160fb861c3c"
"5000000","hygiene_items","normal distribution outlier","7d32e653-515d-44d4-8687-957522f2c2c3"
"3000000","hygiene_items","normal distribution outlier","1817b047-6ffb-4b0c-963c-81b22f7f45fe"
"3000000","hygiene_items","normal distribution outlier","e1161bbf-e01c-4649-ad04-393adf4fa256"
"7000000","hygiene_items","normal distribution outlier","24eb992b-2aec-416d-8e3d-eecc6051591c"
"3000000","hygiene_items","normal distribution outlier","c501680e-95b5-407d-81c6-86a2d47fb1b7"
"3000000","hygiene_items","normal distribution outlier","c331fb46-1d33-42cf-b81e-3b4e140ebb7f"
"3000000","hygiene_items","normal distribution outlier","82c3d700-fab2-49d4-ad04-f23fce286bb3"
"8000000","hygiene_items","normal distribution outlier","56d8f3b4-7cab-42d4-bbc7-373edc3c8286"
"600000600","energy_for_cooking","normal distribution outlier","e4b347fe-3427-4c47-ba92-e66c05c43689"
"700000000","energy_for_cooking","normal distribution outlier","9f24fc88-7810-47a8-b86d-fcb89e8cb787"
"4500000","communication","normal distribution outlier","d410da87-5e5a-49cc-abf0-80bbed25fde2"
"10000000","communication","normal distribution outlier","7653f3cd-72e4-42fe-8591-411af933432e"
