uuid,old_value,question,issue,check_id,check_binding,enumerator_num,date_assessment,change_type,new_value
0539f157-a7fd-45d8-8cbe-9256db571150,"لا يوجد من يمثلنا في قضاء تلعفر 
لا يوجد واسطه",trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 0539f157-a7fd-45d8-8cbe-9256db571150,5,44390,no_action,NA
0560a838-5f88-4b8d-9267-68f8ae21d988,TRUE,primary_livelihood.employment,primary_livelihood is employment but expenses less than 200000,check_exp,check_exp ~/~ 0560a838-5f88-4b8d-9267-68f8ae21d988,4,44384,change_response,FALSE
0560a838-5f88-4b8d-9267-68f8ae21d988,"لايوجد من يطالب بحقنا 
منطقه مرتفعه",water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 0560a838-5f88-4b8d-9267-68f8ae21d988,4,44384,no_action,NA
0560a838-5f88-4b8d-9267-68f8ae21d988,180000,tot_expenses,primary_livelihood is employment but expenses less than 200000,check_exp,check_exp ~/~ 0560a838-5f88-4b8d-9267-68f8ae21d988,4,44384,no_action,NA
05ae93e1-ff59-4631-ae3f-4a1ead1ce0de,لا اعلم,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 05ae93e1-ff59-4631-ae3f-4a1ead1ce0de,12,44385,no_action,NA
066b2127-48c0-41ce-aa12-8e17649746a2,نقص خبره لدۍ الموضفين,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 066b2127-48c0-41ce-aa12-8e17649746a2,8,44387,no_action,NA
06cb950d-7ce3-4163-8639-87fc03c97baf,282.42528 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 06cb950d-7ce3-4163-8639-87fc03c97baf,6,44383,remove_survey,NA
06db5f52-b621-4ae6-ab59-36f874992785,يتم توفير الماء بشبكة الانابيب لايام اقل,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 06db5f52-b621-4ae6-ab59-36f874992785,9,44391,no_action,NA
06db5f52-b621-4ae6-ab59-36f874992785,60000,pay_water_charges_amount,outlier (normal distribution),NA,pay_water_charges_amount ~/~ 06db5f52-b621-4ae6-ab59-36f874992785,9,44391,no_action,NA
0705256e-c70a-49ed-8432-6ade34191df2,موظفين الدائرة لاياتون الى هذه المنطقة لاستلام تكاليف المياه بشكل شهري استنادا على كلام رب البيت.,pay_water_charges_why_not_other,recode other,NA,pay_water_charges_why_not_other ~/~ 0705256e-c70a-49ed-8432-6ade34191df2,11,44386,no_action,NA
0705256e-c70a-49ed-8432-6ade34191df2,بسبب صغر حجم انابيب المياه.بالاضافة ان الموظفين المسؤولين عن مشروع المياه يقومون بقفل الانابيب وقطع المياه عن المنطقة بسبب قلة المياه التي توفرها الدائرة.,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 0705256e-c70a-49ed-8432-6ade34191df2,11,44386,no_action,NA
0705256e-c70a-49ed-8432-6ade34191df2,149.15018 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 0705256e-c70a-49ed-8432-6ade34191df2,11,44386,remove_survey,NA
070c0833-0e20-4363-a6d8-9d75c2d53f5f,لا نرى اي اهتمام او استجابة للشكاوي,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 070c0833-0e20-4363-a6d8-9d75c2d53f5f,12,44390,no_action,NA
073de5e9-f798-4d31-9190-e606ecb19cbe,الموظفين بلمشروع غير مقصرين ولكن لاتوجد كهرباء كافية لتشغيل مضخات المشروع,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 073de5e9-f798-4d31-9190-e606ecb19cbe,9,44386,no_action,NA
0745d10c-c6ac-44c1-9f61-dbd46419c271,عدم الاهتمام,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 0745d10c-c6ac-44c1-9f61-dbd46419c271,8,44390,no_action,NA
07484b85-b70f-49f6-b9d2-e5674edb3937,"لا يوجد لدينا واسطه 
والماء ضعيف جدا 
بالإضافة الى قله ايام التزويد",water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 07484b85-b70f-49f6-b9d2-e5674edb3937,4,44389,no_action,NA
07484b85-b70f-49f6-b9d2-e5674edb3937,150000,tot_expenses,primary_livelihood is employment but expenses less than 200000,check_exp,check_exp ~/~ 07484b85-b70f-49f6-b9d2-e5674edb3937,4,44389,no_action,NA
07484b85-b70f-49f6-b9d2-e5674edb3937,TRUE,primary_livelihood.employment,primary_livelihood is employment but expenses less than 200000,check_exp,check_exp ~/~ 07484b85-b70f-49f6-b9d2-e5674edb3937,4,44389,change_response,FALSE
079ca322-78b0-49c8-bf8f-f0008287d33a,149.29168 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 079ca322-78b0-49c8-bf8f-f0008287d33a,13,44383,remove_survey,NA
08a2021d-452b-4e61-8a34-f2b4c0491dea,"توزيع غير منتظم بين الأحياء
ولاتوجد من يمثل المنطقه
ولاتوجد كهرباء كافيه لايصال الماء بصوره صحيحه",water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 08a2021d-452b-4e61-8a34-f2b4c0491dea,6,44392,no_action,NA
08a2021d-452b-4e61-8a34-f2b4c0491dea,0.304054054054054,percentage_missing,Percentages of missing values from this survey is different from others,NA,percentage_missing ~/~ 08a2021d-452b-4e61-8a34-f2b4c0491dea,6,44392,no_action,NA
09369f18-18e9-4336-b111-2738b1a49011,1800000,inc_employment_pension,outlier (normal distribution),NA,inc_employment_pension ~/~ 09369f18-18e9-4336-b111-2738b1a49011,2,44384,no_action,NA
09369f18-18e9-4336-b111-2738b1a49011,عدم السماع الي شكاوي وعدم معالجه مشاكل المنطقه بحجه عدم توفير السيول الماليه من محافظه نينوى,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 09369f18-18e9-4336-b111-2738b1a49011,2,44384,no_action,NA
0b0578ef-4b09-47e9-9afa-663ec4550fe1,قلة المياه التي توفر لهذا الحي.حيث يتم توفير المياه مرة واحدة في الاسبوع.,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 0b0578ef-4b09-47e9-9afa-663ec4550fe1,11,44390,no_action,NA
0b74b52d-d221-4b81-a5e6-9f9db48b1f86,9,...1,outlier (log distribution),NA,...1 ~/~ 0b74b52d-d221-4b81-a5e6-9f9db48b1f86,16,44382,no_action,NA
0be815d6-1f31-4d4d-8775-6043df8b9f03,0.567567567567568,percentage_missing,Percentages of missing values from this survey is different from others,NA,percentage_missing ~/~ 0be815d6-1f31-4d4d-8775-6043df8b9f03,3,44388,no_action,NA
0be815d6-1f31-4d4d-8775-6043df8b9f03,على حد قولهم لا توجد تخصيصات ماليه,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 0be815d6-1f31-4d4d-8775-6043df8b9f03,3,44388,no_action,NA
0be815d6-1f31-4d4d-8775-6043df8b9f03,عدم وجود شبكة ماء,problems_water_main_complaint_other,recode other,NA,problems_water_main_complaint_other ~/~ 0be815d6-1f31-4d4d-8775-6043df8b9f03,3,44388,no_action,NA
0d4fafd8-9243-4a05-be2a-2100c2e60185,2,air_coolers_hours,outlier (log distribution),NA,air_coolers_hours ~/~ 0d4fafd8-9243-4a05-be2a-2100c2e60185,11,44388,no_action,NA
0d4fafd8-9243-4a05-be2a-2100c2e60185,كمية المياه التي توفر لهذا الحي قليلة جدا.بحيث يتم توفير المياه لمرة واحدة في الاسبوع.,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 0d4fafd8-9243-4a05-be2a-2100c2e60185,11,44388,no_action,NA
11067dc4-45b5-4b35-8d43-5dec9f7276c5,123.23200 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 11067dc4-45b5-4b35-8d43-5dec9f7276c5,15,44391,remove_survey,NA
1238747b-6616-4c8e-9a1f-571c2927d66d,لا ارى جدوى من ذلك,prefer_not_engage_other,recode other,NA,prefer_not_engage_other ~/~ 1238747b-6616-4c8e-9a1f-571c2927d66d,12,44389,no_action,NA
1238747b-6616-4c8e-9a1f-571c2927d66d,خط الماء ضعيف جدا واتصالهم بالشبكة غير رسمي لان النقطة تبعد ٥٠ متر ويعتمدون في مياههم على مسجد قريب من المنزل,access_water_enough_why_not_other,recode other,NA,access_water_enough_why_not_other ~/~ 1238747b-6616-4c8e-9a1f-571c2927d66d,12,44389,no_action,NA
1238747b-6616-4c8e-9a1f-571c2927d66d,قدمنا شكوى اكثر من مرة ولم نرى اي استجابة,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 1238747b-6616-4c8e-9a1f-571c2927d66d,12,44389,no_action,NA
1238747b-6616-4c8e-9a1f-571c2927d66d,0.560810810810811,percentage_missing,Percentages of missing values from this survey is different from others,NA,percentage_missing ~/~ 1238747b-6616-4c8e-9a1f-571c2927d66d,12,44389,no_action,NA
127f66e3-0577-4869-a22a-8daff0f79d05,قلة مصادر الماء,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 127f66e3-0577-4869-a22a-8daff0f79d05,3,44391,no_action,NA
12a87b4e-6ac3-4240-accf-3abc5a52c60b,عدم الاهتمام,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 12a87b4e-6ac3-4240-accf-3abc5a52c60b,8,44389,no_action,NA
1332b30b-d342-4e9e-a7f2-1ccaf1e344a0,لايوجد هناك تحسين يذكر على ارض الواقع الدائرة تعاني من نقص الاموال والامكانيات,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 1332b30b-d342-4e9e-a7f2-1ccaf1e344a0,14,44391,no_action,NA
1332b30b-d342-4e9e-a7f2-1ccaf1e344a0,150000,connection_fees_amount,outlier (normal distribution),NA,connection_fees_amount ~/~ 1332b30b-d342-4e9e-a7f2-1ccaf1e344a0,14,44391,no_action,NA
13eeef38-d32c-42d8-90d3-fd5220bba30c,50000,pay_water_charges_amount,outlier (normal distribution),NA,pay_water_charges_amount ~/~ 13eeef38-d32c-42d8-90d3-fd5220bba30c,12,44392,no_action,NA
13eeef38-d32c-42d8-90d3-fd5220bba30c,لا يستجيبون للشكاوي الخاصة بالتسريبات,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 13eeef38-d32c-42d8-90d3-fd5220bba30c,12,44392,no_action,NA
14106fd9-b5cc-4ebb-84f0-54a4dde70fb6,"عدم قدره دائره ماء تلعفر تغطيه المنطقه بالكامل 
ضعف في توصيل الماء",water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 14106fd9-b5cc-4ebb-84f0-54a4dde70fb6,5,44388,no_action,NA
14106fd9-b5cc-4ebb-84f0-54a4dde70fb6,0.317567567567568,percentage_missing,Percentages of missing values from this survey is different from others,NA,percentage_missing ~/~ 14106fd9-b5cc-4ebb-84f0-54a4dde70fb6,5,44388,no_action,NA
1475f988-dc46-40ce-b0fe-0c74085337e9,قلة مشاريع الماء في تلعفر,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 1475f988-dc46-40ce-b0fe-0c74085337e9,1,44391,no_action,NA
1563cb60-2ff8-4862-88d5-07c4c44b5276,ضعيف جداً,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 1563cb60-2ff8-4862-88d5-07c4c44b5276,15,44383,no_action,NA
159209cf-5c2b-4d41-ad8d-e125dcdfd882,122.00880 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 159209cf-5c2b-4d41-ad8d-e125dcdfd882,3,44390,remove_survey,NA
15e45b20-6b76-448a-997b-f8624f2646df,بسبب الفساد الاداري بلبلد بصورة عامة والمحافظات بصورة خاصة,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 15e45b20-6b76-448a-997b-f8624f2646df,9,44390,no_action,NA
15e45b20-6b76-448a-997b-f8624f2646df,توزيع المياع بشكل عادل على المناطق,suggestions_improve_services_other,recode other,NA,suggestions_improve_services_other ~/~ 15e45b20-6b76-448a-997b-f8624f2646df,9,44390,no_action,NA
15e45b20-6b76-448a-997b-f8624f2646df,التقصير والتوزيع غير العادل على الاحياء وهناك مناطق يتم توفير المياه فيها ٢٤ ساعة ومناطق ٦ ساعات او اقل,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 15e45b20-6b76-448a-997b-f8624f2646df,9,44390,no_action,NA
15e45b20-6b76-448a-997b-f8624f2646df,الفساد الاداري,level_service_why_poor_other,recode other,NA,level_service_why_poor_other ~/~ 15e45b20-6b76-448a-997b-f8624f2646df,9,44390,no_action,NA
15e45b20-6b76-448a-997b-f8624f2646df,164.30160 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 15e45b20-6b76-448a-997b-f8624f2646df,9,44390,remove_survey,NA
16034477-27ab-4ad1-b474-9007fb84459d,لا يقومون باصلاح التسريبات ابدا,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 16034477-27ab-4ad1-b474-9007fb84459d,12,44392,no_action,NA
16a0c6fe-de4c-4a8c-bb7f-1be29bd86a2e,"ضعف قوه الماء 
توزيع غير منتظم في الحي يوجد اماكن فيها ماء وأماكن لايوجد فيها ماء لان المناطق عاليه والآخرى منخفضه",water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 16a0c6fe-de4c-4a8c-bb7f-1be29bd86a2e,5,44389,no_action,NA
16a0c6fe-de4c-4a8c-bb7f-1be29bd86a2e,TRUE,primary_livelihood.employment,primary_livelihood is employment but expenses less than 200000,check_exp,check_exp ~/~ 16a0c6fe-de4c-4a8c-bb7f-1be29bd86a2e,5,44389,change_response,FALSE
16a0c6fe-de4c-4a8c-bb7f-1be29bd86a2e,120000,tot_expenses,primary_livelihood is employment but expenses less than 200000,check_exp,check_exp ~/~ 16a0c6fe-de4c-4a8c-bb7f-1be29bd86a2e,5,44389,no_action,NA
1738fc41-949a-47dc-8cc2-16701f8d9d3d,96.22388 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 1738fc41-949a-47dc-8cc2-16701f8d9d3d,9,44383,remove_survey,NA
1738fc41-949a-47dc-8cc2-16701f8d9d3d,28,tank_fill_piped,outlier (normal distribution),NA,tank_fill_piped ~/~ 1738fc41-949a-47dc-8cc2-16701f8d9d3d,9,44383,no_action,NA
1738fc41-949a-47dc-8cc2-16701f8d9d3d,7,days_available_piped,outlier (normal distribution),NA,days_available_piped ~/~ 1738fc41-949a-47dc-8cc2-16701f8d9d3d,9,44383,no_action,NA
176d70eb-b76d-4b16-9069-b19ecda5fc01,6,days_available_piped,outlier (normal distribution),NA,days_available_piped ~/~ 176d70eb-b76d-4b16-9069-b19ecda5fc01,10,44383,no_action,NA
176d70eb-b76d-4b16-9069-b19ecda5fc01,26,tank_fill_piped,outlier (normal distribution),NA,tank_fill_piped ~/~ 176d70eb-b76d-4b16-9069-b19ecda5fc01,10,44383,no_action,NA
177ce159-6d3e-4ab2-8915-1dd68a9dae13,لايوجد هناك اي تحسين يذكر على ارض الواقع,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 177ce159-6d3e-4ab2-8915-1dd68a9dae13,14,44388,no_action,NA
17bad766-fc25-49fe-a041-c6503e05941d,6,days_available_piped,outlier (normal distribution),NA,days_available_piped ~/~ 17bad766-fc25-49fe-a041-c6503e05941d,2,44382,no_action,NA
17bad766-fc25-49fe-a041-c6503e05941d,105.68047 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 17bad766-fc25-49fe-a041-c6503e05941d,2,44382,remove_survey,NA
17bf8248-6797-44dc-b746-7bb626a87e56,رجل كبير بالسن.لايستطيع تحمل المسؤولية.,prefer_not_engage_other,recode other,NA,prefer_not_engage_other ~/~ 17bf8248-6797-44dc-b746-7bb626a87e56,11,44388,no_action,NA
17bf8248-6797-44dc-b746-7bb626a87e56,عدم الاهتمام.وسوء شبكة المياه.لذا لن يتحسن الوضع الا بتغيير الشبكة وانشاء شبكة جديدة.,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 17bf8248-6797-44dc-b746-7bb626a87e56,11,44388,no_action,NA
17bf8248-6797-44dc-b746-7bb626a87e56,سوء شبكة المياه.وقلة ساعات امداد المياه للحي.,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 17bf8248-6797-44dc-b746-7bb626a87e56,11,44388,no_action,NA
17dec336-9b1c-4536-9963-908cf2784978,منطقه عاليه وتشغيل غير عادل بين الاحياء,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 17dec336-9b1c-4536-9963-908cf2784978,7,44384,no_action,NA
198ddc54-6a37-4fc2-b26c-8a3ac0cdcc94,"قله ايام إيصال الماء إلى المنطقه 
وقله ساعات تجهيز الماء بحيث لا تكفي لسد احتياجات
ولايوجد من يطالب الحكومة ومركز القضاء",water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 198ddc54-6a37-4fc2-b26c-8a3ac0cdcc94,5,44389,no_action,NA
198ddc54-6a37-4fc2-b26c-8a3ac0cdcc94,0.304054054054054,percentage_missing,Percentages of missing values from this survey is different from others,NA,percentage_missing ~/~ 198ddc54-6a37-4fc2-b26c-8a3ac0cdcc94,5,44389,no_action,NA
19dca228-34a4-4d77-a6ed-f37000a0784c,توزيع المياه غير عادل بين الأحياء,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 19dca228-34a4-4d77-a6ed-f37000a0784c,6,44386,no_action,NA
1a80239e-a815-4fcd-8549-294fb190c27f,"بسبب وجود موظفين غير 
مدربين بشكل جيد",trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 1a80239e-a815-4fcd-8549-294fb190c27f,8,44383,no_action,NA
1a80239e-a815-4fcd-8549-294fb190c27f,24,air_coolers_nb,outlier (normal distribution),NA,air_coolers_nb ~/~ 1a80239e-a815-4fcd-8549-294fb190c27f,8,44383,change_response,4
1a80239e-a815-4fcd-8549-294fb190c27f,213.51398 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 1a80239e-a815-4fcd-8549-294fb190c27f,8,44383,remove_survey,NA
1b261039-fce0-4b9b-9562-bdfe770aa863,ليس هناك حل وتطوير من قبل دائرة المياه حيث ان الدائرة مستمرة في العمل على النظام القديم ولا يوجد حل يعالج المشكلة,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 1b261039-fce0-4b9b-9562-bdfe770aa863,14,44386,no_action,NA
1b261039-fce0-4b9b-9562-bdfe770aa863,وذلك بسبب بعد المنطقة وارتفاعها عن المشروع  ليس هناك ضغط كافي لوصول المياه بشكل افضل كباقي المناطق,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 1b261039-fce0-4b9b-9562-bdfe770aa863,14,44386,no_action,NA
1b473a2c-71bd-4bcc-8040-621dde1475dc,موظفين غير مؤهلين,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 1b473a2c-71bd-4bcc-8040-621dde1475dc,8,44385,no_action,NA
1c2fc250-d834-46f0-bee8-2d7006a8c949,150000,tot_expenses,primary_livelihood is employment but expenses less than 200000,check_exp,check_exp ~/~ 1c2fc250-d834-46f0-bee8-2d7006a8c949,10,44384,no_action,NA
1c2fc250-d834-46f0-bee8-2d7006a8c949,TRUE,primary_livelihood.employment,primary_livelihood is employment but expenses less than 200000,check_exp,check_exp ~/~ 1c2fc250-d834-46f0-bee8-2d7006a8c949,10,44384,change_response,FALSE
1c92e3e0-a24f-4d16-8f4c-ca2ea4690889,0.587837837837838,percentage_missing,Percentages of missing values from this survey is different from others,NA,percentage_missing ~/~ 1c92e3e0-a24f-4d16-8f4c-ca2ea4690889,2,44390,no_action,NA
1c92e3e0-a24f-4d16-8f4c-ca2ea4690889,142.14017 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 1c92e3e0-a24f-4d16-8f4c-ca2ea4690889,2,44390,remove_survey,NA
1c92e3e0-a24f-4d16-8f4c-ca2ea4690889,4,spend_trucking,outlier (log distribution),NA,spend_trucking ~/~ 1c92e3e0-a24f-4d16-8f4c-ca2ea4690889,2,44390,no_action,NA
1d333334-ca17-4e75-b847-9f80e162ab02,0.310810810810811,percentage_missing,Percentages of missing values from this survey is different from others,NA,percentage_missing ~/~ 1d333334-ca17-4e75-b847-9f80e162ab02,4,44387,no_action,NA
1d333334-ca17-4e75-b847-9f80e162ab02,"الحي الذي نسكن فيه بعيد جدا عن مشروع ماء تلعفر
بلاضافه الى الماء ضعيف",water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 1d333334-ca17-4e75-b847-9f80e162ab02,4,44387,no_action,NA
1d6e050b-879a-4955-9dcf-5e6324c7393a,قله الضغط وتوزيع غير منتظم ولايوجد من يمثل المنطقه ولاتوجد واسطه,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 1d6e050b-879a-4955-9dcf-5e6324c7393a,7,44391,no_action,NA
1dd884f0-7ef0-480a-b920-80a833930e7f,4,air_coolers_hours,outlier (log distribution),NA,air_coolers_hours ~/~ 1dd884f0-7ef0-480a-b920-80a833930e7f,10,44388,no_action,NA
1fcf8417-5cd9-4c65-9090-83e828881939,24,hours_available_piped,outlier (normal distribution),NA,hours_available_piped ~/~ 1fcf8417-5cd9-4c65-9090-83e828881939,15,44390,no_action,NA
20434ebb-fd0c-4859-9f6e-d19abed33b89,118.76667 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 20434ebb-fd0c-4859-9f6e-d19abed33b89,2,44391,remove_survey,NA
206f0400-ad75-4339-831e-2d23a0d9f394,لايوجد اي تحسين يذكر من قبل دائرة مياه تلعفر بسبب التجاوزات على الخط الرئيسي,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 206f0400-ad75-4339-831e-2d23a0d9f394,14,44389,no_action,NA
20e365e1-c5da-4f98-a065-b533deb645e5,121.66312 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 20e365e1-c5da-4f98-a065-b533deb645e5,2,44387,remove_survey,NA
211ba328-98b5-4e80-9343-5057b83df2f8,19,water_tank_nb_sharing,outlier (normal distribution),NA,water_tank_nb_sharing ~/~ 211ba328-98b5-4e80-9343-5057b83df2f8,12,44384,no_action,NA
211ba328-98b5-4e80-9343-5057b83df2f8,19,num_hh_member,outlier (normal distribution),NA,num_hh_member ~/~ 211ba328-98b5-4e80-9343-5057b83df2f8,12,44384,no_action,NA
